
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 11.8287, tra_acc: 0.8182, tes_acc: 0.2241, tes_loss: 13.0992, best_acc: 0.2241, best_epoch: 1
Epoch 1 tra_loss: 10.4019, tra_acc: 1.0000, tes_acc: 0.5483, tes_loss: 12.7718, best_acc: 0.5483, best_epoch: 2
Epoch 2 tra_loss: 9.9192, tra_acc: 1.0000, tes_acc: 0.5483, tes_loss: 12.2715, best_acc: 0.5483, best_epoch: 2
Epoch 3 tra_loss: 9.5477, tra_acc: 1.0000, tes_acc: 0.6069, tes_loss: 11.6071, best_acc: 0.6069, best_epoch: 4
Epoch 4 tra_loss: 9.2403, tra_acc: 1.0000, tes_acc: 0.6069, tes_loss: 11.1293, best_acc: 0.6069, best_epoch: 4
Epoch 5 tra_loss: 8.9557, tra_acc: 1.0000, tes_acc: 0.6483, tes_loss: 10.7198, best_acc: 0.6483, best_epoch: 6
Epoch 6 tra_loss: 8.6577, tra_acc: 1.0000, tes_acc: 0.7345, tes_loss: 10.4085, best_acc: 0.7345, best_epoch: 7
Epoch 7 tra_loss: 8.3780, tra_acc: 1.0000, tes_acc: 0.7103, tes_loss: 10.1588, best_acc: 0.7345, best_epoch: 7
Epoch 8 tra_loss: 8.1138, tra_acc: 1.0000, tes_acc: 0.7034, tes_loss: 9.8897, best_acc: 0.7345, best_epoch: 7
Epoch 9 tra_loss: 7.8369, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 9.6747, best_acc: 0.7345, best_epoch: 7
Epoch 10 tra_loss: 7.5679, tra_acc: 1.0000, tes_acc: 0.6793, tes_loss: 9.3762, best_acc: 0.7345, best_epoch: 7
Epoch 11 tra_loss: 7.3083, tra_acc: 1.0000, tes_acc: 0.6586, tes_loss: 9.2213, best_acc: 0.7345, best_epoch: 7
Epoch 12 tra_loss: 7.0444, tra_acc: 1.0000, tes_acc: 0.6828, tes_loss: 8.7663, best_acc: 0.7345, best_epoch: 7
Epoch 13 tra_loss: 6.8145, tra_acc: 1.0000, tes_acc: 0.6207, tes_loss: 8.6318, best_acc: 0.7345, best_epoch: 7
Epoch 14 tra_loss: 6.5943, tra_acc: 1.0000, tes_acc: 0.6655, tes_loss: 8.4219, best_acc: 0.7345, best_epoch: 7
Epoch 15 tra_loss: 6.3623, tra_acc: 1.0000, tes_acc: 0.6897, tes_loss: 8.1230, best_acc: 0.7345, best_epoch: 7
Epoch 16 tra_loss: 6.1490, tra_acc: 1.0000, tes_acc: 0.6966, tes_loss: 7.9733, best_acc: 0.7345, best_epoch: 7
Epoch 17 tra_loss: 5.9499, tra_acc: 1.0000, tes_acc: 0.7000, tes_loss: 7.8179, best_acc: 0.7345, best_epoch: 7
Epoch 18 tra_loss: 5.7680, tra_acc: 1.0000, tes_acc: 0.6690, tes_loss: 7.5611, best_acc: 0.7345, best_epoch: 7
Epoch 19 tra_loss: 5.6114, tra_acc: 1.0000, tes_acc: 0.6828, tes_loss: 7.5553, best_acc: 0.7345, best_epoch: 7
Epoch 20 tra_loss: 5.4681, tra_acc: 1.0000, tes_acc: 0.6931, tes_loss: 7.4761, best_acc: 0.7345, best_epoch: 7
Epoch 21 tra_loss: 5.3390, tra_acc: 1.0000, tes_acc: 0.6897, tes_loss: 7.3976, best_acc: 0.7345, best_epoch: 7
Epoch 22 tra_loss: 5.2190, tra_acc: 1.0000, tes_acc: 0.6966, tes_loss: 7.2161, best_acc: 0.7345, best_epoch: 7
Epoch 23 tra_loss: 5.1119, tra_acc: 1.0000, tes_acc: 0.6828, tes_loss: 7.1863, best_acc: 0.7345, best_epoch: 7
Epoch 24 tra_loss: 5.0077, tra_acc: 1.0000, tes_acc: 0.6690, tes_loss: 6.9862, best_acc: 0.7345, best_epoch: 7
Epoch 25 tra_loss: 4.9071, tra_acc: 1.0000, tes_acc: 0.6897, tes_loss: 7.0365, best_acc: 0.7345, best_epoch: 7
Epoch 26 tra_loss: 4.8180, tra_acc: 1.0000, tes_acc: 0.7103, tes_loss: 6.8817, best_acc: 0.7345, best_epoch: 7
Epoch 27 tra_loss: 4.7189, tra_acc: 1.0000, tes_acc: 0.6621, tes_loss: 6.8269, best_acc: 0.7345, best_epoch: 7
Epoch 28 tra_loss: 4.6312, tra_acc: 1.0000, tes_acc: 0.7379, tes_loss: 6.7363, best_acc: 0.7379, best_epoch: 29
Epoch 29 tra_loss: 4.5491, tra_acc: 1.0000, tes_acc: 0.7586, tes_loss: 6.5691, best_acc: 0.7586, best_epoch: 30
Epoch 30 tra_loss: 4.4632, tra_acc: 1.0000, tes_acc: 0.7586, tes_loss: 6.4785, best_acc: 0.7586, best_epoch: 30
Epoch 31 tra_loss: 4.3853, tra_acc: 1.0000, tes_acc: 0.7586, tes_loss: 6.5108, best_acc: 0.7586, best_epoch: 30
Epoch 32 tra_loss: 4.2988, tra_acc: 1.0000, tes_acc: 0.7034, tes_loss: 6.5613, best_acc: 0.7586, best_epoch: 30
Epoch 33 tra_loss: 4.2229, tra_acc: 1.0000, tes_acc: 0.7586, tes_loss: 6.2412, best_acc: 0.7586, best_epoch: 30
Epoch 34 tra_loss: 4.1408, tra_acc: 1.0000, tes_acc: 0.7345, tes_loss: 6.4961, best_acc: 0.7586, best_epoch: 30
Epoch 35 tra_loss: 4.0571, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.4537, best_acc: 0.7586, best_epoch: 30
Epoch 36 tra_loss: 3.9789, tra_acc: 1.0000, tes_acc: 0.7138, tes_loss: 6.2325, best_acc: 0.7586, best_epoch: 30
Epoch 37 tra_loss: 3.9053, tra_acc: 1.0000, tes_acc: 0.7069, tes_loss: 6.1200, best_acc: 0.7586, best_epoch: 30
Epoch 38 tra_loss: 3.8337, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.4179, best_acc: 0.7586, best_epoch: 30
Epoch 39 tra_loss: 3.7678, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 7.3779, best_acc: 0.7586, best_epoch: 30
Epoch 40 tra_loss: 3.6925, tra_acc: 1.0000, tes_acc: 0.7586, tes_loss: 5.8980, best_acc: 0.7586, best_epoch: 30
Epoch 41 tra_loss: 3.6403, tra_acc: 1.0000, tes_acc: 0.7379, tes_loss: 6.5358, best_acc: 0.7586, best_epoch: 30
Epoch 42 tra_loss: 3.5683, tra_acc: 1.0000, tes_acc: 0.4586, tes_loss: 7.0514, best_acc: 0.7586, best_epoch: 30
Epoch 43 tra_loss: 3.4959, tra_acc: 1.0000, tes_acc: 0.6724, tes_loss: 6.0248, best_acc: 0.7586, best_epoch: 30
Epoch 44 tra_loss: 3.4282, tra_acc: 1.0000, tes_acc: 0.7172, tes_loss: 5.8939, best_acc: 0.7586, best_epoch: 30
Epoch 45 tra_loss: 3.3580, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 6.1987, best_acc: 0.7586, best_epoch: 30
Epoch 46 tra_loss: 3.2927, tra_acc: 1.0000, tes_acc: 0.4241, tes_loss: 6.1452, best_acc: 0.7586, best_epoch: 30
Epoch 47 tra_loss: 3.2307, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 6.0463, best_acc: 0.7586, best_epoch: 30
Epoch 48 tra_loss: 3.1732, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 6.5750, best_acc: 0.7586, best_epoch: 30
Epoch 49 tra_loss: 3.1128, tra_acc: 1.0000, tes_acc: 0.3690, tes_loss: 6.9510, best_acc: 0.7586, best_epoch: 30
Epoch 50 tra_loss: 3.0615, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 5.7939, best_acc: 0.7586, best_epoch: 30
Epoch 51 tra_loss: 3.0141, tra_acc: 1.0000, tes_acc: 0.3793, tes_loss: 6.0647, best_acc: 0.7586, best_epoch: 30
Epoch 52 tra_loss: 2.9686, tra_acc: 1.0000, tes_acc: 0.7138, tes_loss: 5.9302, best_acc: 0.7586, best_epoch: 30
Epoch 53 tra_loss: 2.9221, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.5018, best_acc: 0.7586, best_epoch: 30
Epoch 54 tra_loss: 2.8725, tra_acc: 1.0000, tes_acc: 0.6621, tes_loss: 5.6489, best_acc: 0.7586, best_epoch: 30
Epoch 55 tra_loss: 2.8390, tra_acc: 1.0000, tes_acc: 0.6034, tes_loss: 5.4954, best_acc: 0.7586, best_epoch: 30
Epoch 56 tra_loss: 2.7942, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 5.9784, best_acc: 0.7586, best_epoch: 30
Epoch 57 tra_loss: 2.7590, tra_acc: 1.0000, tes_acc: 0.6345, tes_loss: 5.6422, best_acc: 0.7586, best_epoch: 30
Epoch 58 tra_loss: 2.7162, tra_acc: 1.0000, tes_acc: 0.5345, tes_loss: 5.6055, best_acc: 0.7586, best_epoch: 30
Epoch 59 tra_loss: 2.6866, tra_acc: 1.0000, tes_acc: 0.4207, tes_loss: 6.6429, best_acc: 0.7586, best_epoch: 30
Epoch 60 tra_loss: 2.6533, tra_acc: 1.0000, tes_acc: 0.6621, tes_loss: 5.0995, best_acc: 0.7586, best_epoch: 30
