
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 13.4867, tra_acc: 0.9107, tes_acc: 0.4789, tes_loss: 14.5316, best_acc: 0.4789, best_epoch: 1
Epoch 1 tra_loss: 12.1293, tra_acc: 1.0000, tes_acc: 0.6973, tes_loss: 14.2084, best_acc: 0.6973, best_epoch: 2
Epoch 2 tra_loss: 11.6078, tra_acc: 1.0000, tes_acc: 0.6667, tes_loss: 13.7484, best_acc: 0.6973, best_epoch: 2
Epoch 3 tra_loss: 11.3213, tra_acc: 1.0000, tes_acc: 0.8046, tes_loss: 13.5678, best_acc: 0.8046, best_epoch: 4
Epoch 4 tra_loss: 11.0586, tra_acc: 1.0000, tes_acc: 0.5632, tes_loss: 13.1607, best_acc: 0.8046, best_epoch: 4
Epoch 5 tra_loss: 10.8899, tra_acc: 1.0000, tes_acc: 0.7165, tes_loss: 12.9441, best_acc: 0.8046, best_epoch: 4
Epoch 6 tra_loss: 10.6899, tra_acc: 1.0000, tes_acc: 0.6820, tes_loss: 12.6039, best_acc: 0.8046, best_epoch: 4
Epoch 7 tra_loss: 10.5107, tra_acc: 1.0000, tes_acc: 0.6705, tes_loss: 12.5805, best_acc: 0.8046, best_epoch: 4
Epoch 8 tra_loss: 10.3470, tra_acc: 1.0000, tes_acc: 0.5479, tes_loss: 12.6104, best_acc: 0.8046, best_epoch: 4
Epoch 9 tra_loss: 10.2093, tra_acc: 1.0000, tes_acc: 0.5479, tes_loss: 12.4269, best_acc: 0.8046, best_epoch: 4
Epoch 10 tra_loss: 10.1197, tra_acc: 1.0000, tes_acc: 0.5862, tes_loss: 11.9950, best_acc: 0.8046, best_epoch: 4
Epoch 11 tra_loss: 10.0234, tra_acc: 1.0000, tes_acc: 0.6858, tes_loss: 12.0894, best_acc: 0.8046, best_epoch: 4
Epoch 12 tra_loss: 9.8903, tra_acc: 1.0000, tes_acc: 0.7011, tes_loss: 11.8150, best_acc: 0.8046, best_epoch: 4
Epoch 13 tra_loss: 9.7857, tra_acc: 1.0000, tes_acc: 0.6858, tes_loss: 12.1645, best_acc: 0.8046, best_epoch: 4
Epoch 14 tra_loss: 9.6735, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 11.7305, best_acc: 0.8046, best_epoch: 4
Epoch 15 tra_loss: 9.5714, tra_acc: 1.0000, tes_acc: 0.6552, tes_loss: 11.7391, best_acc: 0.8046, best_epoch: 4
Epoch 16 tra_loss: 9.4845, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 11.7969, best_acc: 0.8046, best_epoch: 4
Epoch 17 tra_loss: 9.3709, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 11.4395, best_acc: 0.8046, best_epoch: 4
Epoch 18 tra_loss: 9.3132, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 11.5696, best_acc: 0.8046, best_epoch: 4
Epoch 19 tra_loss: 9.2186, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 11.3263, best_acc: 0.8046, best_epoch: 4
Epoch 20 tra_loss: 9.1163, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 11.1631, best_acc: 0.8046, best_epoch: 4
Epoch 21 tra_loss: 9.0113, tra_acc: 1.0000, tes_acc: 0.6705, tes_loss: 11.1625, best_acc: 0.8046, best_epoch: 4
Epoch 22 tra_loss: 8.9108, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 11.2393, best_acc: 0.8046, best_epoch: 4
Epoch 23 tra_loss: 8.8226, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 11.0788, best_acc: 0.8046, best_epoch: 4
Epoch 24 tra_loss: 8.7336, tra_acc: 1.0000, tes_acc: 0.6092, tes_loss: 10.9613, best_acc: 0.8046, best_epoch: 4
Epoch 25 tra_loss: 8.6556, tra_acc: 1.0000, tes_acc: 0.7011, tes_loss: 11.0278, best_acc: 0.8046, best_epoch: 4
Epoch 26 tra_loss: 8.5539, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 10.9975, best_acc: 0.8046, best_epoch: 4
Epoch 27 tra_loss: 8.4760, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 10.7797, best_acc: 0.8046, best_epoch: 4
Epoch 28 tra_loss: 8.4266, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 10.5049, best_acc: 0.8046, best_epoch: 4
Epoch 29 tra_loss: 8.3487, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 10.8399, best_acc: 0.8046, best_epoch: 4
Epoch 30 tra_loss: 8.2790, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 10.4961, best_acc: 0.8046, best_epoch: 4
Epoch 31 tra_loss: 8.2002, tra_acc: 1.0000, tes_acc: 0.6322, tes_loss: 10.7766, best_acc: 0.8046, best_epoch: 4
Epoch 32 tra_loss: 8.0897, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 10.6159, best_acc: 0.8046, best_epoch: 4
Epoch 33 tra_loss: 8.0171, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 10.7669, best_acc: 0.8046, best_epoch: 4
Epoch 34 tra_loss: 7.9466, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 10.4791, best_acc: 0.8046, best_epoch: 4
Epoch 35 tra_loss: 7.8730, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 10.1078, best_acc: 0.8046, best_epoch: 4
Epoch 36 tra_loss: 7.7953, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 10.1074, best_acc: 0.8046, best_epoch: 4
Epoch 37 tra_loss: 7.7141, tra_acc: 1.0000, tes_acc: 0.6092, tes_loss: 10.4385, best_acc: 0.8046, best_epoch: 4
Epoch 38 tra_loss: 7.6420, tra_acc: 1.0000, tes_acc: 0.5900, tes_loss: 10.4756, best_acc: 0.8046, best_epoch: 4
Epoch 39 tra_loss: 7.5735, tra_acc: 1.0000, tes_acc: 0.5862, tes_loss: 10.1456, best_acc: 0.8046, best_epoch: 4
Epoch 40 tra_loss: 7.5057, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 10.0328, best_acc: 0.8046, best_epoch: 4
Epoch 41 tra_loss: 7.4357, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 10.0146, best_acc: 0.8046, best_epoch: 4
Epoch 42 tra_loss: 7.3787, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.8288, best_acc: 0.8046, best_epoch: 4
Epoch 43 tra_loss: 7.3323, tra_acc: 1.0000, tes_acc: 0.7663, tes_loss: 9.6572, best_acc: 0.8046, best_epoch: 4
Epoch 44 tra_loss: 7.2571, tra_acc: 1.0000, tes_acc: 0.5862, tes_loss: 9.6550, best_acc: 0.8046, best_epoch: 4
Epoch 45 tra_loss: 7.1932, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.6296, best_acc: 0.8046, best_epoch: 4
Epoch 46 tra_loss: 7.1291, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 9.5509, best_acc: 0.8046, best_epoch: 4
Epoch 47 tra_loss: 7.0714, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 9.3480, best_acc: 0.8046, best_epoch: 4
Epoch 48 tra_loss: 7.0326, tra_acc: 1.0000, tes_acc: 0.6973, tes_loss: 9.0004, best_acc: 0.8046, best_epoch: 4
Epoch 49 tra_loss: 6.9790, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.3206, best_acc: 0.8046, best_epoch: 4
Epoch 50 tra_loss: 6.8973, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.3087, best_acc: 0.8046, best_epoch: 4
Epoch 51 tra_loss: 6.8365, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.4112, best_acc: 0.8046, best_epoch: 4
Epoch 52 tra_loss: 6.7947, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.1420, best_acc: 0.8046, best_epoch: 4
Epoch 53 tra_loss: 6.7433, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.2462, best_acc: 0.8046, best_epoch: 4
Epoch 54 tra_loss: 6.7137, tra_acc: 1.0000, tes_acc: 0.5057, tes_loss: 9.2679, best_acc: 0.8046, best_epoch: 4
Epoch 55 tra_loss: 6.6567, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.5586, best_acc: 0.8046, best_epoch: 4
Epoch 56 tra_loss: 6.6028, tra_acc: 1.0000, tes_acc: 0.6973, tes_loss: 9.3361, best_acc: 0.8046, best_epoch: 4
Epoch 57 tra_loss: 6.5465, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.0245, best_acc: 0.8046, best_epoch: 4
Epoch 58 tra_loss: 6.4774, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.0086, best_acc: 0.8046, best_epoch: 4
Epoch 59 tra_loss: 6.4263, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.0545, best_acc: 0.8046, best_epoch: 4
Epoch 60 tra_loss: 6.4192, tra_acc: 1.0000, tes_acc: 0.7548, tes_loss: 8.4142, best_acc: 0.8046, best_epoch: 4
Epoch 61 tra_loss: 6.3643, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.8661, best_acc: 0.8046, best_epoch: 4
Epoch 62 tra_loss: 6.2810, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.7681, best_acc: 0.8046, best_epoch: 4
Epoch 63 tra_loss: 6.2254, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.8544, best_acc: 0.8046, best_epoch: 4
Epoch 64 tra_loss: 6.1671, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.8431, best_acc: 0.8046, best_epoch: 4
Epoch 65 tra_loss: 6.1179, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.6591, best_acc: 0.8046, best_epoch: 4
Epoch 66 tra_loss: 6.0685, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.7116, best_acc: 0.8046, best_epoch: 4
Epoch 67 tra_loss: 6.0286, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.8587, best_acc: 0.8046, best_epoch: 4
Epoch 68 tra_loss: 5.9819, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.5273, best_acc: 0.8046, best_epoch: 4
Epoch 69 tra_loss: 5.9302, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.5732, best_acc: 0.8046, best_epoch: 4
Epoch 70 tra_loss: 5.8862, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.4398, best_acc: 0.8046, best_epoch: 4
Epoch 71 tra_loss: 5.8446, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.3182, best_acc: 0.8046, best_epoch: 4
Epoch 72 tra_loss: 5.8104, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.2758, best_acc: 0.8046, best_epoch: 4
Epoch 73 tra_loss: 5.7729, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.4883, best_acc: 0.8046, best_epoch: 4
Epoch 74 tra_loss: 5.7341, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 8.0331, best_acc: 0.8046, best_epoch: 4
Epoch 75 tra_loss: 5.7830, tra_acc: 1.0000, tes_acc: 0.4751, tes_loss: 8.5049, best_acc: 0.8046, best_epoch: 4
Epoch 76 tra_loss: 5.7955, tra_acc: 1.0000, tes_acc: 0.6973, tes_loss: 8.3775, best_acc: 0.8046, best_epoch: 4
Epoch 77 tra_loss: 5.7450, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 7.7780, best_acc: 0.8046, best_epoch: 4
