
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 14.1858, tra_acc: 0.9099, tes_acc: 0.2884, tes_loss: 15.7397, best_acc: 0.2884, best_epoch: 1
Epoch 1 tra_loss: 12.6273, tra_acc: 1.0000, tes_acc: 0.4345, tes_loss: 15.2160, best_acc: 0.4345, best_epoch: 2
Epoch 2 tra_loss: 11.9886, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 14.6390, best_acc: 0.5918, best_epoch: 3
Epoch 3 tra_loss: 11.5135, tra_acc: 1.0000, tes_acc: 0.6667, tes_loss: 13.8690, best_acc: 0.6667, best_epoch: 4
Epoch 4 tra_loss: 11.1122, tra_acc: 1.0000, tes_acc: 0.5955, tes_loss: 13.2584, best_acc: 0.6667, best_epoch: 4
Epoch 5 tra_loss: 10.6965, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 12.4052, best_acc: 0.7828, best_epoch: 6
Epoch 6 tra_loss: 10.3325, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 12.2947, best_acc: 0.7828, best_epoch: 6
Epoch 7 tra_loss: 9.9831, tra_acc: 1.0000, tes_acc: 0.7603, tes_loss: 11.9098, best_acc: 0.7828, best_epoch: 6
Epoch 8 tra_loss: 9.6673, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 11.4038, best_acc: 0.8464, best_epoch: 9
Epoch 9 tra_loss: 9.3519, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 11.3588, best_acc: 0.8464, best_epoch: 9
Epoch 10 tra_loss: 9.0868, tra_acc: 1.0000, tes_acc: 0.7041, tes_loss: 10.7759, best_acc: 0.8464, best_epoch: 9
Epoch 11 tra_loss: 8.7507, tra_acc: 1.0000, tes_acc: 0.7940, tes_loss: 10.4733, best_acc: 0.8464, best_epoch: 9
Epoch 12 tra_loss: 8.4566, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 10.2950, best_acc: 0.8464, best_epoch: 9
Epoch 13 tra_loss: 8.1520, tra_acc: 1.0000, tes_acc: 0.6554, tes_loss: 10.0022, best_acc: 0.8464, best_epoch: 9
Epoch 14 tra_loss: 7.8787, tra_acc: 1.0000, tes_acc: 0.6330, tes_loss: 9.6391, best_acc: 0.8464, best_epoch: 9
Epoch 15 tra_loss: 7.6709, tra_acc: 1.0000, tes_acc: 0.8090, tes_loss: 9.3182, best_acc: 0.8464, best_epoch: 9
Epoch 16 tra_loss: 7.3960, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 8.9199, best_acc: 0.8464, best_epoch: 9
Epoch 17 tra_loss: 7.1857, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 8.7933, best_acc: 0.8464, best_epoch: 9
Epoch 18 tra_loss: 6.9667, tra_acc: 1.0000, tes_acc: 0.7940, tes_loss: 8.7791, best_acc: 0.8464, best_epoch: 9
Epoch 19 tra_loss: 6.7519, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 8.3243, best_acc: 0.8464, best_epoch: 9
Epoch 20 tra_loss: 6.5938, tra_acc: 1.0000, tes_acc: 0.6704, tes_loss: 8.4395, best_acc: 0.8464, best_epoch: 9
Epoch 21 tra_loss: 6.5197, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 8.4522, best_acc: 0.8464, best_epoch: 9
Epoch 22 tra_loss: 6.4380, tra_acc: 1.0000, tes_acc: 0.7266, tes_loss: 8.3888, best_acc: 0.8464, best_epoch: 9
Epoch 23 tra_loss: 6.3622, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 8.6429, best_acc: 0.8464, best_epoch: 9
